nfe,archive_size,hypervolume,generational_distance,epsilon_indicator,spread,spacing,time_efficiency_nfe,total_runtime,time_efficiency_total,problem,algorithm,hpc_cores,seed
0,0,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
100,42,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
1100,122,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
2100,136,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
3100,160,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
4100,177,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
5100,230,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
6100,241,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
7100,275,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
8100,298,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
9100,308,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
10957,319,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
12233,334,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
13509,361,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
14785,404,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
16061,468,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
17337,531,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
18613,582,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
19889,628,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
21165,649,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
22441,695,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
23717,713,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
24993,743,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
26269,788,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
27545,794,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
28821,815,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
30097,831,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
31373,856,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
32649,876,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
33925,902,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
35201,920,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
36477,927,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
37753,942,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
39029,968,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
40305,978,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
41581,998,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
42857,1013,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
44133,1023,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
45409,1047,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
46685,1059,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
47961,1063,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
49237,1078,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
50513,1085,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
51789,1095,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
53065,1107,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
54341,1111,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
55617,1124,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
56893,1125,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
58169,1130,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
59445,1135,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
60721,1146,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
61997,1150,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
63273,1145,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
64549,1147,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
65825,1146,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
67100,1153,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
68376,1161,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
69651,1164,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
70927,1173,,,,,,,,,DTLZ2,eps_nsgaii,6,12345
0,0,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
100,41,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
1100,84,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
2199,142,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
3199,166,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
4199,180,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
5199,224,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
6199,252,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
7199,274,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
8199,304,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
9298,342,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
11147,383,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
12679,402,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
14211,440,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
15743,529,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
17275,598,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
18807,624,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
20339,669,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
21871,707,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
23403,748,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
24935,774,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
26467,806,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
27999,825,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
29531,859,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
31063,871,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
32595,882,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
34127,900,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
35659,916,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
37191,939,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
38723,958,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
40253,974,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
41785,984,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
43317,1001,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
44849,1018,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
46381,1019,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
47913,1028,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
49445,1037,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
50977,1048,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
52509,1057,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
54041,1056,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
55573,1071,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
57105,1080,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
58637,1085,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
60169,1094,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
61701,1100,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
63233,1109,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
64765,1118,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
66297,1135,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
67829,1148,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
69361,1152,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
70893,1161,,,,,,,,,DTLZ2,eps_nsgaii,6,23403
0,0,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
100,41,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
1199,114,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
2199,143,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
3298,158,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
4298,199,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
5298,251,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
6298,270,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
7298,319,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
8298,358,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
9298,385,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
11225,409,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
12861,431,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
14497,471,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
16132,532,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
17768,619,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
19404,662,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
21040,692,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
22676,738,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
24312,765,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
25948,794,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
27584,828,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
29220,867,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
30856,899,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
32492,916,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
34128,934,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
35764,949,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
37400,963,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
39036,970,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
40670,991,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
42306,1000,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
43942,1014,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
45578,1023,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
47214,1044,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
48850,1058,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
50486,1075,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
52122,1084,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
53758,1087,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
55394,1095,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
57030,1104,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
58666,1111,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
60302,1114,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
61938,1123,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
63574,1126,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
65210,1130,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
66846,1140,,,,,,,,,DTLZ2,eps_nsgaii,6,39349
